chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
2jki13q54zizc6i4,simpleLine,pending,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?",Average the values for the four periods spanning July 2008 to June 2012. Calculate the mean for the four periods ranging from July 2013 to June 2017. Compare the two resulting numbers to determine which is greater.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2008 - Jun 2009"", ""Jul 2011 - Jun 2012""], ""xKindHint"": ""ordinal""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Number of trucks""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Period"", ""operator"": ""between"", ""value"": [""Jul 2013 - Jun 2014"", ""Jul 2016 - Jun 2017""], ""xKindHint"": ""ordinal""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Number of trucks""}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4"", ""operator"": "">""}]}",,2026-06-30T08:49:19.157Z
0pzdf7hfbxgjghsa,simpleBar,pending,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"Locate the production values for 2016, 2017, and 2018. Calculate the absolute difference between the 2016 and 2017 amounts. Determine the absolute difference between the 2017 and 2018 amounts. Subtract the smaller change from the larger one.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2016""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2017""}, {""op"": ""retrieveValue"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2018""}], ""ops2"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 2}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n1"", ""signed"": false}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n3""], ""sentenceIndex"": 3}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n3"", ""targetB"": ""ref:n2"", ""signed"": false}], ""ops4"": [{""op"": ""compareBool"", ""id"": ""n6"", ""meta"": {""nodeId"": ""n6"", ""inputs"": [""n4"", ""n5""], ""sentenceIndex"": 4}, ""targetA"": ""ref:n4"", ""targetB"": ""ref:n5"", ""operator"": "">""}, {""op"": ""diff"", ""id"": ""n7"", ""meta"": {""nodeId"": ""n7"", ""inputs"": [""n4"", ""n5""], ""sentenceIndex"": 4}, ""field"": ""Production in billion heads"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n5"", ""signed"": false}]}",,2026-06-30T08:49:24.114Z
0rfuaawgi58ajpsv,groupedBar,pending,What is the difference in the average between North America and Latin America?,Calculate the average media rights revenue for North America across all years. Compute the average revenue for Latin America over the same period. Subtract the smaller average from the larger one.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""North America""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""Latin America""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""field"": ""Media rights revenue in billion US dollars"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": false}]}",,2026-06-30T08:49:26.969Z
0rdpculfpyw3bv5p,groupedBar,pending,Which year shows the lowest gap between lending and investment?,Calculate the absolute difference between the Lending and Investment values for each year. Select the year that yields the minimum gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Type"", ""field"": ""Value in billion US dollars"", ""groupA"": ""Lending"", ""groupB"": ""Investment"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Value in billion US dollars"", ""which"": ""min""}]}",,2026-06-30T08:49:29.225Z
10x2rgiqw97wdspi,stackedBar,pending,Which season was above average in both commercial and broadcasting?,Calculate the average revenue for the Commercial category across all seasons. Compute the average revenue for the Broadcasting category across the same period. Identify the seasons where the Commercial value is strictly greater than the Commercial average. Filter this subset to retain only the seasons that also exceed the Broadcasting average.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Commercial""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Revenue_Million_Euros"", ""group"": ""Broadcasting""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n1"", ""group"": ""Commercial""}], ""ops3"": [{""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 3}, ""field"": ""Revenue_Million_Euros"", ""operator"": "">"", ""value"": ""ref:n2"", ""group"": ""Broadcasting""}]}",,2026-06-30T08:49:36.705Z
0qz3v0bszsex7jjm,simpleBar,pending,Which fiscal years' expenditures are below average?,Calculate the average expenditure across all the fiscal years plotted in the chart. Compare the individual expenditure value of each year against this overall average. Select the fiscal years that have a value strictly lower than the computed mean.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Expenditure in billion GBP""}], ""ops2"": [{""op"": ""diffByValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""targetValue"": ""ref:n1"", ""field"": ""Expenditure in billion GBP"", ""signed"": true}], ""ops3"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Expenditure in billion GBP"", ""operator"": ""<"", ""value"": ""ref:n1""}]}",,2026-06-30T08:49:39.843Z
23wg8zio5ahp40tg,multipleLine,pending,Which year had the biggest gap between favor and oppose?,Compute the absolute difference between the favor and oppose percentages for each year. Select the year that produces the largest gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Opinion"", ""field"": ""Percentage"", ""groupA"": ""Favor"", ""groupB"": ""Oppose"", ""signed"": true, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Percentage"", ""which"": ""max""}]}",,2026-06-30T08:49:43.832Z
28bxxhd6omv2l2h1,multipleLine,pending,What is the difference between the maximum and minimum gap between the two groups?,Calculate the absolute difference between the values of the two regions for each year to find the annual gaps. Identify the highest and lowest of these gap values. Subtract the minimum gap from the maximum gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Region"", ""field"": ""Life expectancy in years"", ""groupA"": ""Canada"", ""groupB"": ""Newfoundland and Labrador"", ""signed"": false, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Life expectancy in years"", ""which"": ""max""}, {""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Life expectancy in years"", ""which"": ""min""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2"", ""n3""], ""sentenceIndex"": 3}, ""field"": ""Life expectancy in years"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n3"", ""signed"": false}]}",,2026-06-30T08:49:48.124Z
29rxoltwhongoday,multipleLine,pending,"In 2002 and 2017, which year shows the highest gap between two opinion?",Calculate the absolute difference between the two opinion percentages for the year 2002. Compute the absolute difference between the two opinion percentages for the year 2017. Compare the two resulting gaps. Select the year that yields the higher value.,,,
2eiyyw562tcvjypp,multipleLine,pending,How many years has Russia had higher favorability than the US?,Find the favorable view percentage for both Russia and the US in every given year. Compare the two data points within each year. Count the years where the value for Russia exceeds the value for the US.,,,
221xwpab655f7g8x,stackedBar,pending,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,"Find the Share of total population for the youngest age group (""0–14 years"") in the earliest year. Locate the value for the oldest age group (""65 years and older"") in the latest year. Subtract the latter value from the former.","{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2009"", ""group"": ""0–14 years""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""target"": ""2019"", ""group"": ""65 years and older""}], ""ops2"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 2}, ""field"": ""Share of total population"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,2026-06-30T08:50:21.577Z
23an1hozb7myw4e2,stackedBar,pending,Find the year when the share of men's apparel starts to decrease.,Isolate the Share_of_Revenue values specifically for Men's apparel. Sort these records in chronological order by year. Compare each year's value against the value from the immediately preceding year. Select the earliest year that registers a lower value than the year before it.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Men's apparel""}], ""ops2"": [{""op"": ""sort"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""order"": ""asc"", ""orderField"": ""Year""}], ""ops3"": [{""op"": ""lagDiff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Share_of_Revenue"", ""order"": ""asc"", ""absolute"": false}], ""ops4"": [{""op"": ""filter"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 4}, ""field"": ""Share_of_Revenue"", ""operator"": ""<"", ""value"": 0}, {""op"": ""nth"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n4""], ""sentenceIndex"": 4}, ""n"": 1, ""from"": ""left""}]}",,2026-06-30T08:50:25.831Z
4wqpl5jrdmc75go3,multipleLine,pending,What is the average of direct and total content predicted in the future based on the present(2025)?,Find the Economic_Impact_Billion_USD values for both Direct contribution and Total contribution in the year 2025. Sum these two figures together. Divide the resulting total by two to compute the average.,"{""ops"": [{""op"": ""retrieveValue"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Economic_Impact_Billion_USD"", ""target"": ""2025"", ""group"": ""Direct contribution""}, {""op"": ""retrieveValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Economic_Impact_Billion_USD"", ""target"": ""2025"", ""group"": ""Total contribution""}], ""ops2"": [{""op"": ""add"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 2}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2""}], ""ops3"": [{""op"": ""scale"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 3}, ""target"": ""ref:n3"", ""factor"": 0.5}]}",,2026-06-30T08:50:28.985Z
74p313e1n8rzkfzp,simpleLine,pending,Find the a pair of age group with the largest difference between adjacent groups,Calculate the absolute difference in the share of respondents between each sequentially adjacent pair of age groups. Select the pair that yields the maximum value.,"{""ops"": [{""op"": ""lagDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Share of respondents"", ""order"": ""asc"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""which"": ""max""}]}",,2026-06-30T08:50:31.897Z
7mgydgux0ay0flv4,simpleLine,pending,What is the highest period of three years of average sales?,Group the years into rolling three-year periods. Calculate the average number of units sold for each consecutive three-year span. Select the period that produces the maximum average.,"{""ops"": [{""op"": ""rollingWindow"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""window"": 3, ""aggregate"": ""avg"", ""field"": ""Number of units sold"", ""orderField"": ""Year""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number of units sold"", ""which"": ""max""}]}",,2026-06-30T08:50:34.045Z
4pi1e6ev8e0zobww,multipleLine,pending,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,Average the male population values for the three earliest years in the chart. Calculate the mean of the female population for the three most recent years. Subtract the male average from the female average.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2009"", ""2011""], ""group"": ""Male""}, {""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Population"", ""group"": ""Male""}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2018"", ""2020""], ""group"": ""Female""}, {""op"": ""average"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}, ""field"": ""Population"", ""group"": ""Female""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""field"": ""Population"", ""targetA"": ""ref:n4"", ""targetB"": ""ref:n2"", ""signed"": true}]}",,2026-06-30T08:50:38.643Z
1gb8sqnptdsdvagz,groupedBar,pending,Find a hair removal type with a share of 10% or more in the under 30s group,Filter the chart to isolate the Under 30s age group. Check the share of respondents for each hair removal type within this subset. Select a type that holds a value of 0.1 or greater to satisfy the 10% requirement.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Under 30s""}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents"", ""operator"": "">="", ""value"": 0.1}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""which"": ""max""}]}",,2026-06-30T08:50:41.292Z
4vcdm7lwwlgdd0h1,multipleLine,pending,When was the year when the difference in wealth between the Senate and the House was the least?,Compute the absolute difference between the Senate and House wealth values for every year. Select the year that yields the minimum gap.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""seriesField"": ""Chamber"", ""field"": ""Median_Wealth_Million_USD"", ""groupA"": ""Senate"", ""groupB"": ""House"", ""signed"": true, ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Median_Wealth_Million_USD"", ""which"": ""min""}]}",,2026-06-30T08:50:43.861Z
1hm2mi3o0ejxp7tn,groupedBar,pending,"Among untreated people, find the difference between the proportion of males and the proportion of females","Treat ""untreated people"" as the combination of the Normotensive untreated and Hypertensive untreated groups. Sum the respondent shares of these two categories for men. Calculate the total share across the same groups for women. Subtract the smaller sum from the larger one.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Group"", ""include"": [""Hypertensive untreated"", ""Normotensive untreated""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents"", ""group"": ""Men""}, {""op"": ""sum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Share of respondents"", ""group"": ""Women""}], ""ops2"": [{""op"": ""diff"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n2"", ""n3""], ""sentenceIndex"": 2}, ""field"": ""Share of respondents"", ""targetA"": ""ref:n2"", ""targetB"": ""ref:n3"", ""signed"": false}]}",,2026-06-30T08:50:47.115Z
